Brand,Model,Derivative,Introduced,Discontinued,Package
VOLVO,XC40 ELECTRIC ESTATE,300kW Recharge Twin Ultimate 82kWh 5dr AWD Auto,2022-12-25,2024-12-06,
VOLVO,S60 SALOON,2.0 B5P Plus Dark 4dr AWD Auto,2023-01-30,,
VOLVO,S60 SALOON,2.0 B5P Ultimate Dark 4dr AWD Auto,2023-01-30,,
VOLVO,EX30 ESTATE,200kW Single Motor Plus 51kWh 5dr Auto,2023-06-07,,
VOLVO,EX30 ESTATE,200kW SM Extended Range Plus 69kWh 5dr Auto,2023-06-07,,
VOLVO,EX30 ESTATE,315kW Twin Motor Performance Plus 69kWh 5dr Auto,2023-06-07,,
VOLVO,EX30 ESTATE,200kW SM Extended Range Ultra 69kWh 5dr Auto,2023-06-07,,
VOLVO,EX30 ESTATE,315kW Twin Motor Performance Ultra 69kWh 5dr Aut,2023-06-07,,
VOLVO,XC60 ESTATE,2.0 T6 350 RC PHEV Plus Black Ed 5dr AWD Gtron,2023-10-18,,
VOLVO,XC60 ESTATE,2.0 B5P Plus Black Edition 5dr AWD Geartronic,2023-10-18,,
VOLVO,XC60 ESTATE,2.0 T8 455 RC PHEV Ultimate Black Ed 5dr AWD Gtr,2023-10-18,,
VOLVO,XC60 ESTATE,2.0 B5P Ultimate Black Edition 5dr AWD Geartroni,2023-10-18,,
VOLVO,XC60 ESTATE,2.0 B5P Ultra Dark 5dr AWD Geartronic,2023-12-11,,
VOLVO,XC60 ESTATE,2.0 B5P Ultra Bright 5dr AWD Geartronic,2023-12-11,,
VOLVO,XC60 ESTATE,2.0 B5P Ultra Black Edition 5dr AWD Geartronic,2023-12-11,,
VOLVO,XC60 ESTATE,2.0 T6 PHEV Core Bright 5dr AWD Geartronic,2023-12-11,,350
VOLVO,XC60 ESTATE,2.0 T6 PHEV Plus Dark 5dr AWD Geartronic,2023-12-11,,350
VOLVO,XC60 ESTATE,2.0 T6 PHEV Plus Black Ed 5dr AWD Geartron,2023-12-11,,350
VOLVO,XC60 ESTATE,2.0 T8 PHEV Ultra Dark 5dr AWD Geartronic,2023-12-11,,455
